id;name;rating;bedroom;bed;bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
27934;Condo in Samsen Nai ;4.85 ;1;1;1.5 ;120437;Nuttee;;Ratchathewi;13.75983;100.54134;Entire home/apt;1903;3;64;06-01-2020;0.45;2;329;0;
27979;Rental unit in Bangkok ;0;1;2;1;120541;Emy;;Bang Na;13.66818;100.61674;Private room;1316;1;0;;;2;0;0;
28745;Rental unit in Bangkok ;0;1;1;1;123784;Familyroom;;Bang Kapi;13.75232;100.62402;Private room;800;60;0;;;1;0;0;
820395;Guesthouse in Bangkok ;4.77 ;1;1;1;822284;Rae And Charlie;;Bang Sue;13.83026;100.52082;Entire home/apt;700;7;13;14-02-2018;0.10;8;349;0;
35780;Rental unit in Bangkok ;4.75 ;1;1;1;153730;Sirilak;;Din Daeng;13.78823;100.57256;Private room;1286;14;4;03-04-2023;0.04;1;327;2;
822214;Home in Bangkok ;4.84 ;2;3;1;822284;Rae And Charlie;;Bang Sue;13.83148;100.52307;Entire home/apt;1200;3;27;06-10-2023;0.21;8;157;7;
1255386;Rental unit in Dusit ;0;1;3;1;6838199;Sirikamol;;Dusit;13.77073;100.50478;Private room;7500;1;0;;;3;0;0;
48736;Rental unit in Bangkok ;0;1;1;1;222005;Athitaya;;Rat Burana;13.68556;100.49535;Private room;1559;3;1;03-02-2014;0.01;1;365;0;
837342;Rental unit in Bangkok ;0;1;1;1;3533863;Sarasinee;;Phaya Thai;13.78832;100.56145;Private room;1057;3;0;;;4;0;0;
55681;Serviced apartment in Silom, Bangrak ;4.77 ;1;1;1;263049;Tor;;Bang Rak;13.71934;100.5176;Private room;1350;2;31;01-12-2023;0.20;7;355;4;
1296322;Rental unit in Bangkok ;4.47 ;1;1;1;2129668;Wimonpak;;Sathon;13.71425;100.51332;Entire home/apt;700;1;220;22-10-2023;1.73;42;328;11;
55686;Hostel in Khet Bang Rak ;4.79 ;1;1;1;263049;Tor;;Sathon;13.71802;100.51539;Hotel room;1384;2;208;02-12-2019;1.33;7;360;0;
59221;Rental unit in Bangkok Huaikhwang ;2.50 ;1;1;1;284095;Mimi;;Din Daeng;13.77941;100.57383;Entire home/apt;910;2;3;30-07-2018;0.02;2;0;0;
1302302;Condo in Bangkok ;4.83 ;2;2;2;6132593;Salvatore;;Sathon;13.72027;100.52851;Entire home/apt;4050;2;145;29-10-2023;1.16;7;139;10;
